File Name,Size (KB),Type,Modified Time,Path
dashboard.py,2.91,.py,2025-05-28 16:46:42.352401,C:\Users\jamad\OneDrive\Desktop\my digital life twin\dashboard.py
habit_logger.py,1.32,.py,2025-05-27 16:37:38.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\habit_logger.py
main.py,0.93,.py,2025-05-27 16:48:34.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\main.py
README.md,0.0,.md,2025-05-23 15:45:26.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\README.md
requirements.txt,0.07,.txt,2025-05-27 16:37:54.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\requirements.txt
system_scanner.py,0.96,.py,2025-05-27 16:38:04.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\system_scanner.py
config,0.13,,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\config
description,0.07,,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\description
HEAD,0.02,,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\HEAD
applypatch-msg.sample,0.47,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\applypatch-msg.sample
commit-msg.sample,0.88,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\commit-msg.sample
fsmonitor-watchman.sample,4.62,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\fsmonitor-watchman.sample
post-update.sample,0.18,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\post-update.sample
pre-applypatch.sample,0.41,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\pre-applypatch.sample
pre-commit.sample,1.61,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\pre-commit.sample
pre-merge-commit.sample,0.41,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\pre-merge-commit.sample
pre-push.sample,1.34,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\pre-push.sample
pre-rebase.sample,4.78,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\pre-rebase.sample
pre-receive.sample,0.53,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\pre-receive.sample
prepare-commit-msg.sample,1.46,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\prepare-commit-msg.sample
push-to-checkout.sample,2.72,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\push-to-checkout.sample
sendemail-validate.sample,2.25,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\sendemail-validate.sample
update.sample,3.56,.sample,2025-05-23 15:47:50.000000,C:\Users\jamad\OneDrive\Desktop\my digital life twin\.git\hooks\update.sample
